Station Name,Community,Average Trip Duration (minutes)
"Triangle Car Park, Hyde Park",3,20.63411757575758
"Hyde Park Corner, Hyde Park",3,19.696894881465518
"Albert Gate, Hyde Park",3,18.9102945450325
"Victoria & Albert Museum, South Kensington",3,18.437003019323672
"Wellington Arch, Hyde Park",3,17.24763807017544
"Knightsbridge, Hyde Park",3,16.63806607981221
"Chelsea Green, Chelsea",3,16.026861139896372
"Holy Trinity Brompton, Knightsbridge",3,15.98801695303551
"Sloane Avenue, Knightsbridge",3,15.909491441441443
"Park Lane , Hyde Park",3,15.798558748615726
"Boston Place, Marylebone",0,15.536065084388186
"Crinan Street, King's Cross",0,15.3786977582846
"Montpelier Street, Knightsbridge",3,14.862498976608187
"Tower Gardens , Tower",2,14.859454446935725
"Charlbert Street, St. John's Wood",0,14.713701421568627
"Cloudesley Road, Angel",0,14.621247678916827
"St. Martin's Street, West End",3,14.593147429078016
"Storey's Gate, Westminster",3,14.47742998643148
"Harris Academy, Bermondsey",2,14.391644708994708
"Millbank Tower, Pimlico",3,14.370588033072236
"Greenberry Street, St.John's Wood",0,14.233836653116532
"St Mary's Hospital, Paddington",0,14.082784317585302
"Somerset House, Strand",2,14.054673809523809
"Southwick Street, Paddington",0,13.99659305993691
"Buckingham Gate, Westminster",3,13.99119175531915
"Albert Embankment, Vauxhall",3,13.959423139158577
"Killick Street, King's Cross",0,13.815835104166666
"Green Street, Mayfair",3,13.810433333333334
"Elizabeth Bridge, Victoria",3,13.781665772870662
"Millennium Hotel, Mayfair",3,13.71402194616977
"Embankment (Savoy), Strand",3,13.689936972343522
"Eaton Square (South), Belgravia",3,13.629813194444445
"Harriet Street, Knightsbridge",3,13.601198018648018
"Panton Street, West End",3,13.570328790613718
"Smith Square, Westminster",3,13.56950634218289
"Wellington Row, Bethnal Green",1,13.545220496894409
"St. John's Wood Church, The Regent's Park",0,13.47099454277286
"Buxton Street 1, Shoreditch",1,13.406285507246377
"Calshot Street , King's Cross",0,13.395234356725148
"Waterloo Place, St. James's",3,13.390323686594202
"Royal Avenue 2, Chelsea",3,13.339894000000001
"Birkenhead Street, King's Cross",0,13.338294685039369
"Northumberland Avenue, Strand",3,13.327036735870818
"Belgrave Square, Belgravia",3,13.326297480620156
"Crimscott Street, Bermondsey",2,13.312740744157441
"Cadogan Gardens, Chelsea",3,13.309256112702961
"Central House, Aldgate",1,13.305755468749998
"Allington Street, Victoria",3,13.2840659447983
"Seville Street, Knightsbridge",3,13.25667036441586
"Whitehall Place, Strand",3,13.227387721518987
"Broadley Terrace, Marylebone",0,13.215734964539006
"Royal Avenue 1, Chelsea",3,13.195959375000001
"Good's Way, King's Cross",0,13.189450112233445
"Doric Way , Somers Town",0,13.188208630952381
"Pall Mall East, West End",3,13.162847777777777
"Euston Square Gardens, Euston",0,13.145808147229115
"Sackville Street, Mayfair",0,13.145583479212254
"Frith Street, Soho",0,13.11176572258533
"Chicheley Street, South Bank",3,13.060491216216217
"Westminster Pier, Westminster",3,13.058196085858587
"Cadogan Place, Knightsbridge",3,13.053337988826817
"Charles II Street, West End",3,13.000132640949555
"Fournier Street, Whitechapel",1,12.993109608277901
"Dorset Square, Marylebone",0,12.901656095366622
"Bourne Street, Belgravia",3,12.879369562146893
"Pont Street, Knightsbridge",3,12.87345923566879
"Ebury Bridge, Pimlico",3,12.870577097130244
"Warwick Row, Westminster",3,12.858923300515704
"Endsleigh Gardens, Euston",0,12.843462660098522
"Vincent Square, Westminster",3,12.825592723004696
"Belgrave Road, Victoria",3,12.800620904761907
"Curlew Street, Shad Thames",2,12.791614932126697
"Seymour Place, Marylebone",0,12.775936625514403
"Westminster University, Marylebone",0,12.735202146892656
"Wardour Street, Soho",0,12.729814935364727
"Sancroft Street, Vauxhall",2,12.687792680776015
"St. Katharine's Way, Tower",1,12.666981074168799
"Kings Gate House, Westminster",3,12.598711485319516
"Broadwick Street, Soho",0,12.587061954887217
"Butler Place, Westminster",3,12.578535747663551
"Jewry Street, Aldgate",1,12.578007575757574
"Braham Street, Aldgate",1,12.568439026305457
"Abbey Orchard Street, Westminster",3,12.546101941097724
"St. Mary Axe, Aldgate",1,12.528690501792115
"St. Chad's Street, King's Cross",0,12.521448881036514
"Shoreditch High Street, Shoreditch",1,12.519660541310541
"Bell Street , Marylebone",0,12.50980468238376
"Walworth Square, Walworth",2,12.506061175616836
"Crosswall, Tower",2,12.505401747088186
"Lower Thames Street, Monument",2,12.46991499238965
"Bruton Street, Mayfair",0,12.463046392496393
"Moor Street, Soho",0,12.462855285592497
"Euston Road, Euston",0,12.456185560504826
"Rodney Road , Walworth",2,12.452841058052435
"Tyers Gate, Bermondsey",2,12.451201699346404
"Arundel Street, Temple",2,12.44655904882155
"Upper Grosvenor Street, Mayfair",0,12.442597701149426
"Farm Street, Mayfair",3,12.439524545454544
"Eccleston Place, Victoria",3,12.407138926746166
"Beaumont Street, Marylebone",0,12.402989334521688
"Grosvenor Crescent, Belgravia",3,12.400143981481481
"Abingdon Green, Westminster",3,12.369195055821372
"Kennington Cross, Kennington",2,12.357153234445818
