Station,Start Count,End Count,Total Trips,Start/End,Community
"Drummond Street , Euston",421,325,746,1.2953846153846154,0
"Drury Lane, Covent Garden",787,883,1670,0.8912797281993206,0
"Duke Street Hill, London Bridge",1552,1670,3222,0.9293413173652695,2
"Eagle Wharf Road, Hoxton",1274,997,2271,1.2778335005015045,1
"Earnshaw Street , Covent Garden",636,667,1303,0.9535232383808095,0
"Eaton Square (South), Belgravia",192,184,376,1.0434782608695652,3
"Ebury Bridge, Pimlico",302,266,568,1.1353383458646618,3
"Eccleston Place, Victoria",587,580,1167,1.0120689655172415,3
"Edgware Road Station, Marylebone",394,348,742,1.132183908045977,0
"Elizabeth Bridge, Victoria",317,342,659,0.9269005847953217,3
"Embankment (Savoy), Strand",229,256,485,0.89453125,3
"Empire Square, The Borough",710,704,1414,1.0085227272727273,2
"Endsleigh Gardens, Euston",1015,890,1905,1.1404494382022472,0
"Euston Road, Euston",449,501,950,0.8962075848303394,0
"Euston Square Gardens, Euston",403,420,823,0.9595238095238096,0
"Eversholt Street , Camden Town",487,473,960,1.029598308668076,0
"Falkirk Street, Hoxton",421,432,853,0.9745370370370371,1
"Fanshaw Street, Hoxton",654,570,1224,1.1473684210526316,1
"Farm Street, Mayfair",165,141,306,1.1702127659574468,3
"Farringdon Lane, Clerkenwell",458,434,892,1.055299539170507,1
"Farringdon Street, Holborn",703,665,1368,1.0571428571428572,1
"Fashion Street, Whitechapel",320,320,640,1.0,1
"Finsbury Circus, Liverpool Street",1253,1524,2777,0.8221784776902887,1
"Finsbury Leisure Centre, St. Luke's",1191,1024,2215,1.1630859375,1
"Finsbury Library , Finsbury",501,504,1005,0.9940476190476191,1
"Finsbury Square , Moorgate",589,642,1231,0.9174454828660437,1
"Fire Brigade Pier, Vauxhall",373,316,689,1.1803797468354431,3
"Foley Street, Fitzrovia",639,632,1271,1.0110759493670887,0
"Fore Street Avenue, Guildhall",465,590,1055,0.788135593220339,1
"Fore Street, Guildhall",466,570,1036,0.8175438596491228,1
"Fournier Street, Whitechapel",451,506,957,0.8913043478260869,1
"Frith Street, Soho",459,544,1003,0.84375,0
"Gaywood  Street, Elephant & Castle",446,495,941,0.901010101010101,2
"George Place Mews, Marylebone",287,260,547,1.103846153846154,0
"George Street, Marylebone",442,483,925,0.9151138716356108,0
"Geraldine Street, Elephant & Castle",221,205,426,1.078048780487805,2
"Gloucester Street, Pimlico",504,462,966,1.0909090909090908,3
"Godliman Street, St. Paul's",495,573,1068,0.8638743455497382,1
"Golden Lane, Barbican",504,517,1021,0.9748549323017408,1
"Golden Square, Soho",468,482,950,0.970954356846473,0
"Good's Way, King's Cross",594,584,1178,1.0171232876712328,0
"Goswell Road (City Uni), Finsbury",14,5,19,2.8,1
"Gower Place , Euston",569,546,1115,1.0421245421245422,0
"Grafton Street, Mayfair",231,274,505,0.843065693430657,3
"Graham Street, Angel",743,508,1251,1.4625984251968505,1
"Granby Street, Shoreditch",420,373,793,1.126005361930295,1
"Great Dover Street, The Borough",969,877,1846,1.104903078677309,2
